influencer_id,platform,date,URL,caption,reach,likes,comments
1,Instagram,2025-07-01,url1,Workout tips,50000,2000,150
1,Instagram,2025-07-10,url2,Protein talk,60000,2500,200
2,YouTube,2025-07-02,url3,Diet hacks,70000,3000,250
3,Instagram,2025-07-04,url4,Muscle gains,80000,4000,300
4,Instagram,2025-07-05,url5,Yoga for stress,65000,2200,180
5,YouTube,2025-07-06,url6,Gym routine,72000,2600,210
6,Twitter,2025-07-07,url7,Mental health talk,30000,900,120
3,Instagram,2025-07-08,url8,Meal plan,82000,4100,310
2,YouTube,2025-07-09,url9,Immunity boost,75000,3300,270
4,Instagram,2025-07-10,url10,Yoga for beginners,67000,2400,200
